seed, starting_position, habit_result, habit_len, habit_reward, trajectory
1,(0;0),0,16,-100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
1,(0;1),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
1,(8;7),1,18,100,0;7/0;6/0;5/1;5/1;6/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
1,(3;6),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
1,(14;1),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
2,(0;1),0,11,-100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1
2,(8;7),0,9,-100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1
2,(3;6),0,5,-100,0;7/0;6/0;5/1;5/1;4
2,(0;0),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
3,(8;7),0,6,-100,0;7/0;6/0;5/1;5/1;4/1;3
3,(0;1),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
2,(14;1),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
4,(8;7),0,8,-100,0;7/0;6/0;5/1;5/1;4/1;5/1;4/2;4
3,(0;0),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
3,(3;6),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
4,(0;1),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
5,(8;7),0,9,-100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1
4,(3;6),0,6,-100,0;7/0;6/0;5/1;5/1;4/1;3
4,(0;0),0,11,-100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1
3,(14;1),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
6,(8;7),0,7,-100,0;7/0;6/0;5/1;5/1;4/1;5/1;4
5,(0;1),1,16,100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
5,(3;6),0,16,-100,0;7/0;6/0;5/1;5/1;4/1;3/0;3/0;2/0;1/0;0/0;-1/0;-2/0;-3/0;-4/0;-5/0;-6
