seed, starting_position, habit_result, habit_len, habit_reward, trajectory
1,(1;8),0,14,-100,0;7/1;7/0;7/0;6/1;6/2;6/2;7/2;6/2;5/2;4/1;4/1;3/1;2/1;1
1,(6;7),1,22,100,0;7/1;7/0;7/0;6/1;6/2;6/2;7/2;6/2;5/2;4/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/1;-4/1;-5/1;-6/0;-6
1,(0;7),0,14,-100,0;7/1;7/0;7/0;6/1;6/2;6/2;7/2;6/2;5/2;4/1;4/1;3/1;2/1;1
1,(0;0),1,22,100,0;7/1;7/0;7/0;6/1;6/2;6/2;7/2;6/2;5/2;4/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/1;-4/1;-5/1;-6/0;-6
1,(1;1),1,22,100,0;7/1;7/0;7/0;6/1;6/2;6/2;7/2;6/2;5/2;4/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/1;-4/1;-5/1;-6/0;-6
2,(1;8),0,20,-100,0;7/-1;7/-1;6/-2;6/-1;6/-1;7/-1;6/-2;6/-1;6/0;6/1;6/0;6/1;6/2;6/2;5/2;4/1;4/1;3/1;2/1;1
2,(6;7),0,18,-100,0;7/-1;7/-1;6/-2;6/-1;6/-1;7/-1;6/-2;6/-1;6/0;6/1;6/0;6/1;6/2;6/2;5/2;4/1;4/1;3
2,(0;7),0,20,-100,0;7/-1;7/-1;6/-2;6/-1;6/-1;7/-1;6/-2;6/-1;6/0;6/1;6/0;6/1;6/2;6/2;5/2;4/1;4/1;3/1;2/1;1
2,(0;0),1,28,100,0;7/-1;7/-1;6/-2;6/-1;6/-1;7/-1;6/-2;6/-1;6/0;6/1;6/0;6/1;6/2;6/2;5/2;4/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/1;-4/1;-5/1;-6/0;-6
2,(1;1),1,28,100,0;7/-1;7/-1;6/-2;6/-1;6/-1;7/-1;6/-2;6/-1;6/0;6/1;6/0;6/1;6/2;6/2;5/2;4/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/1;-4/1;-5/1;-6/0;-6
3,(6;7),0,18,-100,0;7/1;7/1;6/1;7/1;6/0;6/1;6/0;6/1;6/2;6/2;5/2;4/1;4/1;3/1;2/1;1/1;0/1;-1
3,(1;8),1,24,100,0;7/1;7/1;6/1;7/1;6/0;6/1;6/0;6/1;6/2;6/2;5/2;4/1;4/1;3/1;2/1;1/1;0/1;-1/1;-2/1;-3/1;-4/1;-5/1;-6/0;-6
